timestamp,value
2025-09-01T11:00:00,4.931
2025-09-01T11:00:01,4.921
2025-09-01T11:00:02,4.999
2025-09-01T11:00:03,4.919
2025-09-01T11:00:04,4.949
2025-09-01T11:00:05,4.917
2025-09-01T11:00:06,4.880
2025-09-01T11:00:07,4.989
2025-09-01T11:00:08,4.968
2025-09-01T11:00:09,4.930
2025-09-01T11:00:10,4.943
2025-09-01T11:00:11,4.999
2025-09-01T11:00:12,4.977
2025-09-01T11:00:13,4.977
2025-09-01T11:00:14,5.004
2025-09-01T11:00:15,4.992
2025-09-01T11:00:16,5.007
2025-09-01T11:00:17,4.943
2025-09-01T11:00:18,4.905
2025-09-01T11:00:19,4.927
2025-09-01T11:00:20,4.918
2025-09-01T11:00:21,5.032
2025-09-01T11:00:22,4.944
2025-09-01T11:00:23,4.952
2025-09-01T11:00:24,4.970
2025-09-01T11:00:25,4.940
2025-09-01T11:00:26,5.354
2025-09-01T11:00:27,4.944
2025-09-01T11:00:28,4.925
2025-09-01T11:00:29,4.944
2025-09-01T11:00:30,4.954
2025-09-01T11:00:31,5.025
2025-09-01T11:00:32,4.970
2025-09-01T11:00:33,4.945
2025-09-01T11:00:34,4.980
2025-09-01T11:00:35,4.965
2025-09-01T11:00:36,4.987
2025-09-01T11:00:37,4.860
2025-09-01T11:00:38,4.930
2025-09-01T11:00:39,4.914
2025-09-01T11:00:40,5.008
2025-09-01T11:00:41,4.935
2025-09-01T11:00:42,4.984
2025-09-01T11:00:43,4.935
2025-09-01T11:00:44,4.930
2025-09-01T11:00:45,4.936
2025-09-01T11:00:46,4.883
2025-09-01T11:00:47,4.952
2025-09-01T11:00:48,5.000
2025-09-01T11:00:49,4.962
2025-09-01T11:00:50,4.954
2025-09-01T11:00:51,4.934
2025-09-01T11:00:52,4.920
2025-09-01T11:00:53,4.982
2025-09-01T11:00:54,5.002
2025-09-01T11:00:55,4.994
2025-09-01T11:00:56,4.931
2025-09-01T11:00:57,4.985
2025-09-01T11:00:58,5.022
2025-09-01T11:00:59,4.999
2025-09-01T11:01:00,4.954
2025-09-01T11:01:01,5.062
2025-09-01T11:01:02,4.987
2025-09-01T11:01:03,5.019
2025-09-01T11:01:04,5.011
2025-09-01T11:01:05,4.991
2025-09-01T11:01:06,5.004
2025-09-01T11:01:07,4.924
2025-09-01T11:01:08,4.959
2025-09-01T11:01:09,4.978
2025-09-01T11:01:10,5.037
2025-09-01T11:01:11,5.019
2025-09-01T11:01:12,5.056
2025-09-01T11:01:13,4.983
2025-09-01T11:01:14,5.005
2025-09-01T11:01:15,4.932
2025-09-01T11:01:16,5.021
2025-09-01T11:01:17,4.950
2025-09-01T11:01:18,4.916
2025-09-01T11:01:19,4.969
2025-09-01T11:01:20,4.954
2025-09-01T11:01:21,4.953
2025-09-01T11:01:22,5.026
2025-09-01T11:01:23,4.975
2025-09-01T11:01:24,4.958
2025-09-01T11:01:25,4.985
2025-09-01T11:01:26,4.992
2025-09-01T11:01:27,5.002
2025-09-01T11:01:28,4.983
2025-09-01T11:01:29,4.970
2025-09-01T11:01:30,4.919
2025-09-01T11:01:31,5.006
2025-09-01T11:01:32,5.045
2025-09-01T11:01:33,4.951
2025-09-01T11:01:34,5.046
2025-09-01T11:01:35,4.965
2025-09-01T11:01:36,4.956
2025-09-01T11:01:37,4.892
2025-09-01T11:01:38,5.003
2025-09-01T11:01:39,5.023
2025-09-01T11:01:40,4.954
