timestamp;value
2025-09-01T10:00:00;4,932,571,952,264,660
2025-09-01T10:00:01;49,447,714,978,085,300
2025-09-01T10:00:02;4.888
1/09/2025 10:00;49,230,018,623,498,900
2025-09-01T10:00:04;4,858,166,618,865,600
2025-09-01T10:00:05;5,075,262,317,944,420
2025-09-01T10:00:06;4.856
2025-09-01T10:00:07;4,897,182,120,113,560
2025-09-01T10:00:08;4,975,217,284,176,850
2025-09-01T10:00:09;50,178,766,437,736
2025-09-01T10:00:10;4.936
2025-09-01T10:00:11;4.962
2025-09-01T10:00:12;5,023,711,140,415,900
2025-09-01T10:00:13;4,977,970,386,154,620
1/09/2025 10:00;4,989,254,381,753,970
2025-09-01T10:00:15;5,438,330,770,003,840
2025-09-01T10:00:16;5.006
2025-09-01T10:00:17;NA
2025-09-01T10:00:18;491,899,000,068,867
2025-09-01T10:00:19;4,972,186,066,343,710
2025-09-01T10:00:20;4,959,220,986,907,510
2025-09-01T10:00:21;49,809,318,478,716,700
2025-09-01T10:00:22;4,872,602,606,795,930
2025-09-01T10:00:23;4,942,836,258,367,860
2025-09-01T10:00:24;NA
2025-09-01T10:00:25;4.884
2025-09-01T10:00:26;4,921,512,317,837,270
2025-09-01T10:00:27;4,929,722,063,742,640
2025-09-01T10:00:28;4,962,608,590,673,100
2025-09-01T10:00:29;49,769,597,625,430,900
2025-09-01T10:00:30;4,981,973,384,879,510
2025-09-01T10:00:31;49,748,117,818,245,600
2025-09-01T10:00:32;4,893,600,017,968,130
2025-09-01T10:00:33;499,495,994,587,586
2025-09-01T10:00:34;NA
2025-09-01T10:00:35;5.045
2025-09-01T10:00:36;4,984,403,392,746,890
2025-09-01T10:00:37;496,785,721,849,432
2025-09-01T10:00:38;4,975,531,555,400,120
2025-09-01T10:00:39;5,056,412,725,308,550
2025-09-01T10:00:40;NA
2025-09-01T10:00:41;5,041,731,627,080,760
2025-09-01T10:00:42;4.975
2025-09-01T10:00:43;5.128
2025-09-01T10:00:44;5.074
2025-09-01T10:00:45;489,353,128,373,413
2025-09-01T10:00:46;5.02
2025-09-01T10:00:47;NA
2025-09-01T10:00:48;5,037,254,085,090,480
2025-09-01T10:00:49;4,908,620,032,651,960
2025-09-01T10:00:50;4.954
2025-09-01T10:00:51;49,604,635,001,883,000
2025-09-01T10:00:52;4.94
2025-09-01T10:00:53;4.91
2025-09-01T10:00:54;4.996
2025-09-01T10:00:55;4,948,797,651,019,450
1/09/2025 10:00;4.905
2025-09-01T10:00:57;4.891
2025-09-01T10:00:58;4.931
2025-09-01T10:00:59;4.931
2025-09-01T10:01:00;485,151,854,692,952
2025-09-01T10:01:01;4,916,066,078,956,950
2025-09-01T10:01:02;5,007,441,658,630,220
2025-09-01T10:01:03;4.899
2025-09-01T10:01:04;555,168,817,374,362
1/09/2025 10:01;5,005,727,031,973,550
2025-09-01T10:01:06;5,018,352,483,602,090
2025-09-01T10:01:07;5,016,577,763,988,490
2025-09-01T10:01:08;4.989
2025-09-01T10:01:09;4,964,773,260,999,340
2025-09-01T10:01:10;512,103,647,273,367
2025-09-01T10:01:11;NA
2025-09-01T10:01:12;4,889,491,076,630,420
2025-09-01T10:01:13;5,085,671,541,071,580
